exp_19 Phase 8 n=24 workers=8 start 20260903_155724
  ~100000 trees, 1800 survivors [90s]
  ~200000 trees, 3283 survivors [157s]
  ~300000 trees, 5005 survivors [270s]
  ~400000 trees, 6514 survivors [460s]
  ~500000 trees, 8167 survivors [663s]
  ~600000 trees, 9683 survivors [783s]
  ~700000 trees, 10876 survivors [919s]
  ~800000 trees, 12271 survivors [1035s]
  ~900000 trees, 13718 survivors [1160s]
  ~1000000 trees, 15154 survivors [1283s]
  ~1100000 trees, 16859 survivors [1405s]
  ~1200000 trees, 17608 survivors [1517s]
  ~1300000 trees, 18781 survivors [1638s]
  ~1400000 trees, 20008 survivors [1753s]
  ~1500000 trees, 21289 survivors [1867s]
  ~1600000 trees, 22706 survivors [1982s]
  ~1700000 trees, 23962 survivors [2114s]
  ~1800000 trees, 25021 survivors [2237s]
  ~1900000 trees, 26475 survivors [2351s]
  ~2000000 trees, 28040 survivors [2467s]
  ~2100000 trees, 29448 survivors [2590s]
  ~2200000 trees, 30614 survivors [2707s]
  ~2300000 trees, 32502 survivors [2825s]
  ~2400000 trees, 33588 survivors [2946s]
  ~2500000 trees, 34864 survivors [3069s]
  ~2600000 trees, 35482 survivors [3187s]
  ~2700000 trees, 36127 survivors [3267s]
  ~2800000 trees, 37195 survivors [3346s]
  ~2900000 trees, 38670 survivors [3425s]
  ~3000000 trees, 40110 survivors [3501s]
  ~3100000 trees, 41619 survivors [3579s]
  ~3200000 trees, 42942 survivors [3650s]
  ~3300000 trees, 44355 survivors [3727s]
  ~3400000 trees, 45411 survivors [3801s]
  ~3500000 trees, 46597 survivors [3873s]
  ~3600000 trees, 48272 survivors [3947s]
  ~3700000 trees, 49303 survivors [4021s]
  ~3800000 trees, 50095 survivors [4094s]
  ~3900000 trees, 51492 survivors [4166s]
  ~4000000 trees, 52931 survivors [4234s]
  ~4100000 trees, 54078 survivors [4305s]
  ~4200000 trees, 54698 survivors [4375s]
  ~4300000 trees, 55576 survivors [4442s]
  ~4400000 trees, 56369 survivors [4514s]
  ~4500000 trees, 57631 survivors [4585s]
  ~4600000 trees, 58986 survivors [4657s]
  ~4700000 trees, 60209 survivors [4728s]
  ~4800000 trees, 61322 survivors [4799s]
  ~4900000 trees, 62404 survivors [4868s]
  ~5000000 trees, 63730 survivors [4942s]
  ~5100000 trees, 64385 survivors [5014s]
  ~5200000 trees, 65751 survivors [5086s]
  ~5300000 trees, 67188 survivors [5159s]
  ~5400000 trees, 68381 survivors [5230s]
  ~5500000 trees, 69505 survivors [5305s]
  ~5600000 trees, 70564 survivors [5414s]
  ~5700000 trees, 72164 survivors [5520s]
  ~5800000 trees, 73293 survivors [5628s]
  ~5900000 trees, 74791 survivors [5737s]
  ~6000000 trees, 76153 survivors [5847s]
  ~6100000 trees, 77268 survivors [5956s]
  ~6200000 trees, 77805 survivors [6067s]
  ~6300000 trees, 78399 survivors [6178s]
  ~6400000 trees, 79032 survivors [6289s]
  ~6500000 trees, 79780 survivors [6397s]
  ~6600000 trees, 80643 survivors [6508s]
  ~6700000 trees, 81751 survivors [6620s]
  ~6800000 trees, 82667 survivors [6697s]
  ~6900000 trees, 83735 survivors [6776s]
  ~7000000 trees, 84426 survivors [6851s]
  ~7100000 trees, 85391 survivors [6927s]
  ~7200000 trees, 86631 survivors [7004s]
  ~7300000 trees, 87157 survivors [7082s]
  ~7400000 trees, 87957 survivors [7155s]
  ~7500000 trees, 89143 survivors [7230s]
  ~7600000 trees, 90506 survivors [7304s]
  ~7700000 trees, 91654 survivors [7379s]
  ~7800000 trees, 92622 survivors [7449s]
  ~7900000 trees, 93873 survivors [7521s]
  ~8000000 trees, 95176 survivors [7592s]
  ~8100000 trees, 96279 survivors [7664s]
  ~8200000 trees, 97521 survivors [7734s]
  ~8300000 trees, 98568 survivors [7805s]
  ~8400000 trees, 99434 survivors [7873s]
  ~8500000 trees, 100485 survivors [7950s]
  ~8600000 trees, 101703 survivors [8021s]
  ~8700000 trees, 102681 survivors [8095s]
  ~8800000 trees, 103841 survivors [8168s]
  ~8900000 trees, 104561 survivors [8245s]
  ~9000000 trees, 105198 survivors [8319s]
  ~9100000 trees, 106195 survivors [8390s]
  ~9200000 trees, 107169 survivors [8463s]
  ~9300000 trees, 108739 survivors [8539s]
  ~9400000 trees, 110354 survivors [8612s]
  ~9500000 trees, 111346 survivors [8684s]
  ~9600000 trees, 112750 survivors [8761s]
  ~9700000 trees, 113763 survivors [8841s]
  ~9800000 trees, 115162 survivors [8938s]
